Rank,Name,Type,Tags
1808,Hitori no Shita: The Outcast 2,Web,action chineseanimation martialarts supernatural superpowers vampires basedonamanga violence
1809,Gugure! Kokkuri-san,TV,comedy shounen animalcharacteristics darkcomedy japanesemythology non-humanprotagonists supernatural youkai basedona4-komamanga basedonamanga midoriendou
1811,Hetalia: Axis Powers,Web,comedy anthropomorphic chibi gag historical non-humanprotagonists parody political satire shortepisodes basedonamanga hidekazhimaruya
1812,Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer,Movie,action mecha scifi realrobot originalwork
1814,Ajin: Demi-Human,TV,horror seinen animeism humanexperimentation supernatural basedonamanga cganimation explicitviolence  maturethemes  physicalabuse  suicide tsuinamiura
1815,Daughter of Twenty Faces,TV,action drama seinen thieves basedonamanga shinjiohara
1816,Haven't You Heard? I'm Sakamoto,TV,comedy seinen delinquents episodic gag overpoweredmaincharacters schoollife basedonamanga namisano
1817,Lu Over the Wall,Movie,fantasy sliceoflife familyfriendly mermaids music ocean originalwork
1818,Toriko TV,TV,action adventure comedy fantasy shounen foodandbeverage superpowers basedonamanga mitsutoshishimabukuro
1819,Pui Pui Molcar,TV,animalprotagonists anthropomorphic cars familyfriendly non-humanprotagonists shortepisodes stopmotionanimation
1820,Ze Tian Ji 3rd Season,Web,action adventure fantasy chineseanimation cultivation basedonawebnovel
1821,Noblesse,TV,action comedy fantasy contemporaryfantasy non-humanprotagonists overpoweredmaincharacters schoollife supernatural vampires basedonawebtoon violence je-hoson
1822,Banner of the Stars,TV,scifi military outerspace spaceopera war basedonanovel
1824,Kabaneri of the Iron Fortress Part 2: Life That Burns,Movie,action fantasy apocalypse darkfantasy guns pandemic recap steampunk trains zombies originalwork explicitviolence
1825,Shirobako Movie,Movie,animeindustry coworkers otakuculture voiceacting worklife originalwork
1826,Qin Shi Mingyue: Junlin Tianxia,Web,action ancientchina chineseanimation historical wuxia cganimation
1827,Digimon Adventure Movie 2: Bokura no War Game,Movie,action scifi shounen familyfriendly monsters
1828,Kaze no Stigma,TV,action fantasy contemporaryfantasy elementalpowers magic urbanfantasy basedonalightnovel
1829,Kekkaishi,TV,action fantasy shounen demons exorcists supernatural superpowers basedonamanga yellowtanabe
1830,Mobile Suit Gundam,TV,mecha scifi military outerspace political realrobot rivalries war originalwork nudity
1831,Daicon IV Opening Animation,Other,mecha scifi openinganimation parody promotional
1832,Kyousougiga,TV,comedy fantasy supernatural originalwork
1833,Prison School,TV,comedy ecchi seinen fetish newlyco-edschool prison schoollife basedonamanga violence akirahiramoto
1834,Nanbaka: Idiots with Student Numbers!,Other,action comedy island prison schoollife basedonawebtoon shoufutamata
1835,Ahiru no Sora,TV,shounen sports basketball delinquents schoolclub basedonamanga takeshihinata
1836,Sabikui Bisco,TV,action adventure comedy fantasy mystery basedonalightnovel
1837,Dusk Maiden of Amnesia: Ghost Girl,DVD S,comedy mystery shounen ghosts schoolclub schoollife supernatural basedonamanga maybe
1838,"If It's for My Daughter, I'd Even Defeat a Demon Lord",TV,fantasy sliceoflife childcare demons lifestylechange magic non-humanprotagonists singleparent basedonalightnovel violence
1839,Tales of Zestiria: The X,TV,action adventure fantasy basedonavideogame
1840,Panty & Stocking with Garterbelt,TV,action comedy angels crude non-humanprotagonists superpowers originalwork sexualcontent
1841,Honey and Clover,TV,comedy drama josei romance art artschool college comingofage lovetriangle noitamina schoollife unrequitedlove basedonamanga chicaumino
1843,Yuuki Yuuna is a Hero: The Hero Chapter,TV,action drama fantasy magicalgirl henshinheroes melancholy post-apocalyptic originalwork
1846,Chrono Crusade,TV,action comedy fantasy shounen america demons exorcists guns religion basedonamanga daisukemoriyama
1847,Wandering Witch: The Journey of Elaina,TV,adventure drama fantasy episodic magic witches basedonalightnovel explicitviolence  maturethemes
1848,Raiyantsuuri no Uta,Movie,drama historical worldwar2
1849,Urusei Yatsura Movie 2: Beautiful Dreamer,Movie,comedy romance scifi shounen aliens basedonamanga rumikotakahashi
1851,InuYasha The Movie 1: Affections Touching Across Time,Movie,fantasy romance shounen animalcharacteristics demons feudaljapan non-humanprotagonists personinastrangeworld basedonamanga rumikotakahashi
1852,Uta no Prince-sama: Maji Love Legend Star,TV,drama reverseharem shoujo music basedonanotomegame basedonavisualnovel
1853,One Piece Film: Gold ~Episode 0~ 711 ver.,Other,action adventure fantasy shounen pirates superpowers basedonamanga eiichirooda
1854,Serial Experiments Lain,TV,mystery scifi conspiracy cyberpunk noir psychological virtualreality originalwork druguse  maturethemes  suicide
1856,Slam Dunk Movie 3,Movie,action comedy drama shounen sports basketball delinquents schoolclub schoollife basedonamanga takehikoinoue
1858,Uta no Prince Sama: Maji Love Kingdom,Movie,reverseharem shoujo music basedonanotomegame basedonavisualnovel
1859,We Never Learn,TV,comedy ecchi harem romance shounen romanticcomedy schoollife tutors basedonamanga taishitsutsui
1860,Hakkenden: Eight Dogs of the East,TV,action fantasy shoujo supernatural basedonamanga miyukiabe
1861,You Yao,Web,adventure chineseanimation wuxia basedonawebnovel cganimation
1863,Dragon Ball Super: Broly - Skytree Super,Other,action shounen aliens handtohandcombat martialarts non-humanprotagonists superpowers
1864,Fox Spirit Matchmaker Season 3,Web,action fantasy romance chineseanimation non-humanprotagonists basedonamanga
1865,Ni Zai Xingguang Shenchu,Web,action drama fantasy aliens chineseanimation superpowers basedonawebnovel cganimation violence yuxiaolanshan
1866,Mardock Scramble: The Third Exhaust,Movie,scifi cyberpunk gambling basedonanovel nudity
1868,Engaged to the Unidentified,TV,comedy fantasy romance seinen arrangedmarriage schoollife basedona4-komamanga basedonamanga cherryarai
1870,Meiji Tokyo Renka,TV,fantasy reverseharem romance historical personinastrangeworld timetravel basedonanotomegame basedonavisualnovel
1871,Kimagure Orange Road: I Want to Return to That Day,Movie,drama romance shounen lovetriangle basedonamanga izumimatsumoto
1872,Baby & Me,TV,drama shoujo sliceoflife childcare deathofalovedone familylife schoollife siblings basedonamanga marimoragawa
1874,Black Butler 2 Specials,DVD S,shounen 19thcentury demons non-humanprotagonists supernatural basedonamanga yanatoboso
1875,Slayers Evolution-R,TV,adventure comedy fantasy magic medieval basedonalightnovel
1876,Hakata Tonkotsu Ramens,TV,mystery assassins criminals detectives gangs lifestylechange noir revenge basedonanovel maturethemes  physicalabuse  violence
1877,Tsuritama,TV,comedy scifi sports aliens comingofage countryside fishing island iyashikei mentalillness noitamina ocean originalwork
1878,Ajin Movie 2: Shoutotsu,Movie,horror seinen humanexperimentation supernatural basedonamanga cganimation maturethemes  suicide gamonsakurai
1879,Dragon Ball: Episode of Bardock,Other,action shounen aliens handtohandcombat martialarts non-humanprotagonists superpowers basedonamanga akiratoriyama
1880,Shounen Onmyouji,TV,romance demons historical japanesemythology supernatural basedonalightnovel
1881,World Trigger,TV,action scifi shounen monsters basedonamanga daisukeashihara
1882,PriPara 3,TV,idols music showbiz basedonavideogame
1884,Harlock: Space Pirate,Movie,action drama scifi seinen aliens leijiverse outerspace spaceopera spacepirates basedonamanga cganimation leijimatsumoto
1885,Tanaka-kun is Always Listless Specials,DVD S,comedy shoujo sliceoflife schoollife basedonamanga nozomiuda
1886,Seirei Gensouki: Spirit Chronicles,TV,action adventure drama fantasy romance isekai magic orphans personinastrangeworld reincarnation basedonalightnovel yurikitayama
1887,Sailor Moon R: The Movie,Movie,magicalgirl shoujo henshinheroes magic sentai tokusatsu basedonamanga naokotakeuchi
1888,One Piece Movie 7: Karakuri Castle's Mecha Giant Soldier,Movie,action adventure shounen island pirates superpowers basedonamanga eiichirooda
1889,Shaman King,TV,action adventure comedy shounen tournaments basedonamanga hiroyukitakei
1890,Jintian Kaishi Zuo Mingxing,Web,comedy drama chineseanimation crossdressing idols music showbiz basedonamanga
1893,Afro Samurai: The Movie,Movie,action adventure revenge samurai basedonadoujinshi druguse  explicitviolence  maturethemes  sexualcontent takashiokazaki
1894,ORESUKI: Are you the only one who loves me?,TV,comedy drama romance shounen breakingthefourthwall lovetriangle romanticcomedy schoollife basedonalightnovel rakuda
1895,O Maidens in Your Savage Season,TV,comedy drama romance shounen comingofage schoolclub schoollife basedonamanga mariokada
1896,Cardcaptor Sakura: The Movie,Movie,fantasy magicalgirl shoujo familyfriendly henshinheroes magic basedonamanga clamp
1897,The Case Files of Jeweler Richard,TV,drama mystery basedonalightnovel
1898,Revolutionary Girl Utena,TV,drama fantasy boardingschool conspiracy contemporaryfantasy dealwiththedevil lgbtthemes mindgames orphans psychological schoollife studentcouncil swordplay originalwork animalabuse  bullying  maturethemes  physicalabuse
1899,Samurai 7,TV,action adventure mecha scifi samurai steampunk swordplay basedonamovie violence akirakurosawa
1901,Giant Killing,TV,seinen sports soccer tournaments basedonamanga masayatsunamoto
1902,Haganai: I Don't Have Many Friends,TV,comedy ecchi harem otakuculture schoolclub schoollife basedonalightnovel nudity yomihirasaka
1903,Moyashimon,TV,comedy seinen agriculture anthropomorphic college educational noitamina schoollife basedonamanga masayukiishikawa
1904,Tonari no Seki-kun: The Master of Killing Time Specials,DVD S,comedy seinen gag schoollife basedonamanga takumamorishige
1905,BanG Dream! FILM LIVE,Movie,all-girlsschool music schoollife cganimation originalwork
1906,Boarding School Juliet,TV,romance shounen animeism boardingschool schoollife star-crossedlovers basedonamanga yousukekaneda
1907,Fire-and-Ice Magic Cookery,Web,action adventure fantasy chineseanimation basedonawebnovel cganimation
1908,Waiting in the Summer,TV,drama romance shounen aliens countryside non-humanprotagonists photography schoollife originalwork
1909,Mu Wang Zhi Wang: Qilin Jue,Web,action chineseanimation historical
1911,Mind Game,Movie,fantasy abstract basedonamanga
1912,Jiutain Yuan Di Jue,Web,fantasy chineseanimation
1913,"Momoko, Kaeru no Uta ga Kikoeru yo.",Movie,drama sliceoflife disability schoollife siblings bullying
1917,Uzaki-chan Wants to Hang Out!,TV,comedy ecchi romance shounen sliceoflife college senpai-kouhairelationship basedonamanga take
1918,Kuuchuu Buranko,TV,comedy abstract educational medical noitamina psychological druguse  maturethemes
1919,Slam Dunk Movie 2,Movie,action comedy drama shounen sports basketball delinquents schoolclub schoollife basedonamanga maturethemes  physicalabuse takehikoinoue
1921,Inazuma Eleven,TV,drama sports familyfriendly soccer superpowers tournaments basedonavideogame
1922,Emma: A Victorian Romance,TV,drama romance seinen 19thcentury adultcouples england europe historical maids matureromance socialgap worklife basedonamanga kaorumori
1923,Mr. Osomatsu 3rd Season,TV,comedy josei sliceoflife breakingthefourthwall episodic gag neet parody siblings slapstick basedonamanga
1924,GANTZ:O,Movie,action scifi seinen aliens guns psychological basedonamanga cganimation explicitviolence  nudity hiroyaoku
1925,Aoi Bungaku Series,TV,drama fantasy horror collections historical loneliness lovetriangle psychological thriller basedonanovel maturethemes  sexualabuse  sexualcontent  suicide  violence
1926,Hellsing: The Dawn,DVD S,action seinen europe overpoweredmaincharacters supernatural vampires war worldwar2 basedonamanga explicitviolence
1927,Love Live! Nijigasaki High School Idol Club,TV,all-girlsschool idols music schoolclub schoollife
1928,My Bride is a Mermaid OVA Special,DVD S,comedy shounen mermaids basedonamanga tahikokimura
1932,Otome Youkai Zakuro,TV,comedy romance seinen animalcharacteristics japanesemythology military non-humanprotagonists supernatural youkai basedonamanga lilyhoshino
1933,Deadman Wonderland,TV,action scifi shounen conspiracy framedforacrime highstakesgames playordie prison pvp superpowers weaktostrong basedonamanga explicitviolence  nudity jinseikataoka
1934,Dragon Nest: Throne of Elves,Movie,action adventure fantasy chineseanimation elves non-humanprotagonists basedonavideogame
1935,Chio's School Road,TV,comedy seinen sliceoflife gag pantyshots basedonamanga tadatakakawasaki
1937,"Shounen Maid: Women Should Be Brave, and Men Should Be Winsome?",DVD S,comedy shoujo sliceoflife maids basedonamanga ototachibana
1938,Tamayura: Sotsugyou Shashin Movie 2 - Hibiki,Movie,sliceoflife iyashikei photography originalwork
1939,Kiznaiver,TV,drama scifi humanexperimentation psychological originalwork
1940,Attack on Titan in the Dome: Heishi-tachi no Hoshizora,Movie,outerspace basedonamanga cganimation
1941,Love Live! School Idol Project,TV,all-girlsschool idols music schoolclub schoollife
1942,Beyond the Boundary: Yakusoku no Kizuna,DVD S,fantasy contemporaryfantasy dancing urbanfantasy basedonalightnovel
1944,The Demon Girl Next Door,TV,comedy fantasy magicalgirl seinen sliceoflife contemporaryfantasy demons henshinheroes schoollife urbanfantasy basedona4-komamanga basedonamanga izumoitou
1945,Trinity Seven,TV,action comedy ecchi fantasy harem shounen boardingschool magic magicschool schoollife basedonamanga kenjisaitou
1946,Naruto Shippuden Movie 1,Movie,action shounen ninja basedonamanga masashikishimoto
1947,Princess Connect! Re: Dive Season 2,TV,action adventure comedy fantasy amnesia guilds magic monsters basedonamobilegame
1949,Hibike! Euphonium Movie 2: Todoketai Melody,Movie,drama music recap schoolclub schoollife basedonanovel
1950,Li Linke de Xiao Guaner,Web,sliceoflife chineseanimation foodandbeverage originalwork
1951,Chibi Maruko-chan: Watashi no Suki na Uta,Movie,drama shoujo art music
1952,K: Seven Stories Movie 1 - R:B ~Blaze~,Movie,action gangs supernatural superpowers originalwork
1953,Deca-Dence,TV,action scifi isolatedsociety monsters post-apocalyptic originalwork violence
1954,Days,TV,comedy drama shounen sports schoollife soccer tournaments basedonamanga tsuyoshiyasuda
1956,Fate/Kaleid Liner Prisma Illya 3rei!!,TV,action comedy fantasy magicalgirl shounen contemporaryfantasy henshinheroes magic urbanfantasy basedonamanga sexualcontent hiroshihiroyama
1957,My Little Goat,Movie,drama horror animalprotagonists animaltransformation anthropomorphic non-humanprotagonists shorts stopmotionanimation maturethemes  physicalabuse  sexualabuse  violence  domesticabuse
1958,Master Keaton,TV,adventure seinen detectives episodic espionage europe worklife basedonamanga hokuseikatsushika
1959,K: Seven Stories Movie 2 - SIDE:BLUE ~Sirius~,Movie,action drama police supernatural superpowers originalwork
1962,Horizon in the Middle of Nowhere II,TV,action ecchi scifi war basedonalightnovel
1963,Tenchi Universe,TV,adventure comedy fantasy harem scifi aliens non-humanprotagonists outerspace spacepirates
1964,Star Twinkle Pretty Cure,TV,fantasy magicalgirl scifi aliens henshinheroes magic sentai superheroes tokusatsu
1965,Mi Yu Xingzhe,Web,mystery chineseanimation
1966,Aggretsuko: We Wish You a Metal Christmas,Web,comedy anthropomorphic christmas music non-humanprotagonists sanriocharacters socialmedia originalwork
1968,Towanoquon Movie 1: The Ephemeral Petals,Movie,scifi supernatural superpowers originalwork
1969,Arte,TV,drama romance seinen 16thcentury apprenticeship art europe historical italy nobility basedonamanga keiookubo
1970,"Kiss Him, Not Me",TV,comedy reverseharem romance shoujo fujoshi lifestylechange otakuculture schoollife basedonamanga junko
1971,Re:Creators,TV,action fantasy scifi contemporaryfantasy personinastrangeworld reverseisekai urbanfantasy originalwork violence reihiroe
1973,White Snake 2: Green Snake,Movie,action adventure fantasy ancientchina chineseanimation martialarts
1974,Sugar Bunnies: Taisetsu na Tomodachi e...,DVD S,fantasy familyfriendly sanriocharacters
1975,Ga-Rei-Zero,TV,action horror shounen demons supernatural basedonamanga explicitviolence  nudity hajimesegawa
1976,Jian Wang 3: Xia Gan Yi Dan Shen Jianxin,Web,action adventure ancientchina chineseanimation historical martialarts basedonavideogame cganimation
1978,Is the Order a Rabbit?? ~Dear My Sister~,Movie,comedy seinen sliceoflife cafe iyashikei basedona4-komamanga basedonamanga koi
1979,My Hero Academia Movie: Two Heroes Picture Drama,DVD S,comedy scifi sliceoflife foodandbeverage picturedrama superheroes
1980,Gundam Build Fighters Try,TV,action mecha scifi proxybattles tournaments
1982,You're Under Arrest! Fast & Furious,TV,action comedy drama seinen coworkers police worklife basedonamanga kosukefujishima
1983,Sound of the Sky Specials,DVD S,comedy sliceoflife military originalwork
1984,Heroic Age,TV,action adventure mecha scifi aliens military outerspace post-apocalyptic prophecy spaceopera originalwork
1985,Fist of the North Star: Legend of Raoh - Fierce Fight,Movie,action shounen desert dystopia handtohandcombat martialarts overpoweredmaincharacters post-apocalyptic basedonamanga explicitviolence  maturethemes  physicalabuse buronson
1986,Towanoquon Movie 2: Dancing Orchard in Chaos,Movie,scifi supernatural superpowers originalwork
1987,Dragon Ball Z Movie 8: Broly - The Legendary Super Saiyan,Movie,action shounen aliens handtohandcombat martialarts non-humanprotagonists superpowers basedonamanga akiratoriyama
1988,Ah! My Goddess: The Movie,Movie,fantasy romance seinen contemporaryfantasy god-humanrelationship gods interspeciesrelationship magic non-humanprotagonists basedonamanga kosukefujishima
1989,Girls und Panzer,TV,action military militaryschool schoolclub schoollife tournaments originalwork
1991,Ani ni Tsukeru Kusuri wa Nai!,Web,comedy sliceoflife chineseanimation schoollife shortepisodes siblings basedonawebtoon lingyou
1992,Yashahime: Princess Half-Demon - The Second Act,TV,action fantasy demons feudaljapan supernatural
1993,Zombie Land Saga,TV,comedy drama idols music showbiz supernatural zombies originalwork
1994,Naruto Shippuden Movie 2: Bonds,Movie,action shounen ninja basedonamanga masashikishimoto
1995,REBORN! Mr. Rebokku no Ciao Ciao Interview,DVD S,comedy shounen basedonamanga akiraamano
1996,In the Land of Leadale,TV,fantasy cheats reincarnation rpg virtualreality basedonalightnovel ceez
1998,The Prince of Tennis Movie 1: Two Samurai - The First Game,Movie,shounen sports tennis basedonamanga takeshikonomi
1999,Hakuouki: Dawn of the Shinsengumi,TV,action drama feudaljapan historical samurai basedonanotomegame basedonavisualnovel
2001,Btooom!,TV,seinen androphobia forest highstakesgames island jungle neet playordie pvp survival basedonamanga explicitviolence  maturethemes  physicalabuse  sexualabuse  sexualcontent  suicide junyainoue
2002,Inazuma Eleven GO: Kyuukyoku no Kizuna Gryphon,Movie,sports island soccer basedonavideogame
2004,The Seven Deadly Sins Movie 2: Cursed by Light,Movie,action adventure fantasy shounen demons magic medieval non-humanprotagonists overpoweredmaincharacters superpowers basedonamanga violence nakabasuzuki
2007,BanG Dream! Girls Band Party! Pico,Web,chibi music shortepisodes showbiz
2008,Valvrave the Liberator 2,TV,action drama mecha scifi animeism outerspace war originalwork sunrise
2011,Aoharu x Machinegun,TV,action comedy drama shounen crossdressing guns tournaments basedonamanga naoe
2012,Isekai Izakaya: Japanese Food From Another World,TV,fantasy seinen alcohol bar contemporaryfantasy episodic foodandbeverage isekai iyashikei personinastrangeworld restaurants reverseisekai basedonalightnovel
2013,Blood+,TV,action mystery master-servantrelationship supernatural swordplay vampires violence
2015,Tentai Senshi Sunred,TV,comedy seinen gag monsters parody superheroes basedonamanga
2016,Ashita no Joe,TV,shounen sports boxing handtohandcombat basedonamanga tetsuyachiba
2017,La Corda D'Oro ~primo passo~,TV,classicalmusic music musicschool schoollife basedonanotomegame basedonavisualnovel yukikure
2018,Servamp Movie: Alice in the Garden,Movie,action josei master-servantrelationship supernatural vampires basedonamanga striketanaka
2019,Wo Shi Da Shenxian,Web,action fantasy blackmail chineseanimation cultivation martialarts basedonamanga
2020,Tanaka-kun wa Kyou mo Kedaruge,Web,comedy shoujo sliceoflife chibi schoollife shortepisodes basedonamanga nozomiuda
2021,Konohana Kitan,TV,fantasy sliceoflife animalcharacteristics coworkers hotelsandinns iyashikei japanesemythology non-humanprotagonists supernatural basedonamanga sakuyaamano
2022,Go! Princess Pretty Cure,TV,action magicalgirl familyfriendly henshinheroes magic monster-of-the-week sentai superheroes tokusatsu
2023,Heartcatch Pretty Cure! Movie: Hana no Miyako de Fashion Show… desu ka!?,Movie,magicalgirl europe henshinheroes magic supernatural toeianimation
2025,Kindaichi Shounen no Jikenbo Returns (2015),TV,mystery shounen basedonamanga
2026,Pretty Rhythm: Rainbow Live,TV,iceskating idols music showbiz basedonavideogame
2027,Fate/stay night: Unlimited Blade Works 2 - Sunny Day,DVD S,action fantasy magic superpowers basedonaneroge basedonavisualnovel
2029,Akashic Records of Bastard Magic Instructor,TV,action comedy fantasy magic magicschool schoollife teaching urbanfantasy basedonalightnovel violence
2030,Hourou Musuko,TV,drama romance seinen sliceoflife childhoodfriends comingofage lgbtthemes noitamina schoollife basedonamanga takakoshimura
2031,Psycho-Pass SS: Case. 1 - Tsumi to Batsu,Movie,scifi cyberpunk dystopia noir police originalwork explicitviolence
2032,Digimon Adventure Tri. Movie 6: Future,Movie,action drama scifi monsters
2034,Aikatsu Stars! The Movie,Movie,idols island music showbiz basedonacardgame
2035,Sankarea,TV,comedy drama romance shounen supernatural zombies basedonamanga emotionalabuse  maturethemes  nudity  physicalabuse  violence mitsuruhattori
2036,Amagami SS+,TV,romance schoollife basedonavisualnovel
2037,Hololive Alternative PV,Web,fantasy promotional vtubers
2038,Sailor Moon S: The Movie,Movie,magicalgirl shoujo cats henshinheroes magic sentai tokusatsu basedonamanga naokotakeuchi
2039,Accel World,TV,action scifi pvp virtualreality basedonalightnovel bullying
2041,Gokusen,TV,comedy josei all-boysschool delinquents gangs lifestylechange schoollife teaching yakuza basedonamanga kozuekomorimoto
2042,Psychic Detective Yakumo,TV,drama mystery shoujo detectives ghosthunters ghosts supernatural basedonalightnovel
2043,Flying Witch,TV,comedy fantasy shounen sliceoflife apprenticeship contemporaryfantasy countryside familyfriendly familylife iyashikei lifestylechange magic supernatural witches basedonamanga chikaiishioka
2044,Beautiful Bones: Sakurako’s Investigation,TV,drama mystery detectives basedonalightnovel
2045,One Piece Movie 8: The Desert Princess and the Pirates - Adventures in Alabasta,Movie,action adventure comedy fantasy shounen middleeastern pirates rebellions superpowers war basedonamanga violence eiichirooda
2046,Encouragement of Climb 3,TV,adventure seinen sliceoflife iyashikei mountainclimbing thegreatoutdoors basedonamanga siro
2047,Saiyuki Reload Gunlock,TV,adventure comedy fantasy josei exorcists journeytothewest basedonamanga kazuyaminekura
2050,Sword Art Online II,TV,action adventure fantasy scifi guns highstakesgames mmorpg overpoweredmaincharacters personinastrangeworld pve pvp virtualreality basedonalightnovel
2051,RE-MAIN,TV,drama sports amnesia schoolclub schoollife originalwork mappa
2052,Shugo Chara!,TV,comedy fantasy magicalgirl romance shoujo familyfriendly henshinheroes magic monster-of-the-week basedonamanga peach-pit
2053,Planetarian,Web,drama scifi androids astronomy dystopia melancholy non-humanprotagonists post-apocalyptic robots basedonavisualnovel
2056,"Omoi, Omoware, Furi, Furare",Movie,comedy drama romance shoujo schoollife basedonamanga iosakisaka
2057,The Asterisk War (2016),TV,action harem romance scifi tournaments basedonalightnovel violence
2058,Ranma 1/2 OVA: Chou Musabetsu Kessen! Ranma Team VS Densetsu no Houou,Movie,action comedy shounen martialarts basedonamanga rumikotakahashi
2059,Magical Sisters Yoyo & Nene,Movie,fantasy curse magic personinastrangeworld urbanfantasy witches basedonamanga hirarin
2060,Touken Ranbu: Hanamaru ~Makuai Kaisouroku~,Movie,fantasy sliceoflife anthropomorphic historical recap swordplay basedonavideogame
2061,Mei and the Baby Cat Bus,Movie,adventure fantasy animalprotagonists cats contemporaryfantasy countryside familyfriendly ghiblimuseumshorts non-humanprotagonists shorts
2062,Wan Jie Shenzhu,Web,fantasy chineseanimation shortepisodes cganimation
2063,Fushigi Yugi: The Mysterious Play,TV,adventure fantasy reverseharem romance shoujo betrayal isekai lovetriangle magic personinastrangeworld prophecy summonedintoanotherworld basedonamanga yuuwatase
2064,The Vision of Escaflowne,TV,action fantasy mecha romance shoujo isekai lovetriangle personinastrangeworld originalwork
2065,Fist of the North Star: Legend of Kenshiro,Movie,action shounen desert dystopia handtohandcombat martialarts overpoweredmaincharacters post-apocalyptic basedonamanga animalabuse  explicitviolence  maturethemes  physicalabuse buronson
2066,Black Butler 2,TV,comedy shounen 19thcentury butlers demons england europe master-servantrelationship nobility non-humanprotagonists supernatural basedonamanga yanatoboso
2067,Expelled From Paradise,Movie,action mecha scifi hacking non-humanprotagonists post-apocalyptic robots virtualreality cganimation nudity
2068,Final Fantasy VII: Advent Children - Venice Film Festival Footage,Movie,action fantasy basedonavideogame cganimation
2069,Neuro: Supernatural Detective,TV,mystery shounen crime darkcomedy demons detectives episodic psychopaths serialkillers slapstick supernatural basedonamanga explicitviolence yuseimatsui
2070,Mobile Suit Gundam SEED Destiny,TV,mecha scifi realrobot rivalries originalwork
2072,City Hunter,TV,action comedy drama shounen episodic guns basedonamanga nudity tsukasahojo
2073,The Troubled Life of Miss Kotoura,TV,comedy drama romance psychicpowers schoolclub schoollife superpowers basedona4-komamanga basedonamanga bullying enokizu
2074,Hourou Musuko Specials,DVD S,drama seinen sliceoflife comingofage lgbtthemes schoollife basedonamanga
2075,Ninja Scroll,Movie,action feudaljapan ninja swordplay originalwork explicitviolence  nudity  sexualcontent
2077,Forest of Piano,TV,drama classicalmusic music schoollife basedonamanga makotoisshiki
2078,Oshin,Movie,drama sliceoflife 19thcentury historical basedonatvseries
2080,One Piece: Straw Hat Theater,DVD S,comedy shounen chibi parody pirates basedonamanga eiichirooda
2081,Seraph of the End: Battle in Nagoya Specials,DVD S,comedy shounen supernatural basedonamanga takayakagami
2082,Fei Ren Zai,Web,comedy fantasy animalcharacteristics animaltransformation chineseanimation gods shortepisodes supernatural basedona4-komamanga basedonamanga yiwangkongqi
2084,Fate/Grand Order -Divine Realm of the Round Table: Camelot- Paladin; Agateram,Movie,action fantasy scifi magic proxybattles superpowers basedonamobilegame
2085,Squid Girl,TV,comedy shounen sliceoflife iyashikei non-humanprotagonists ocean basedonamanga masahiroanbe
2087,Yowamushi Pedal: Re:GENERATION,Movie,shounen sports cycling racing recap schoolclub schoollife basedonamanga wataruwatanabe
2088,Food Wars! Jump Festa 2015 Special,Other,shounen sliceoflife cooking foodandbeverage basedonamanga yuutotsukuda
2089,Tenchi The Movie: Tenchi Muyo! In Love,Movie,action comedy drama harem scifi originalwork
2094,Hello!! KINMOZA!,TV,comedy seinen sliceoflife iyashikei schoollife basedona4-komamanga basedonamanga yuihara
2095,Ghost in the Shell: The New Movie,Movie,action scifi cyberpunk cyborgs basedonamanga masamuneshirow
2097,Renjian Zui Deyi,Web,action fantasy chineseanimation cganimation
2098,Xixing Ji,Web,adventure chineseanimation basedonamanga cganimation
2099,Ah! My Goddess TV Specials,DVD S,comedy fantasy romance seinen magic non-humanprotagonists basedonamanga kosukefujishima
2100,Talentless Nana,TV,drama horror shounen island psychological schoollife supernatural superpowers thriller basedonamanga violence looseboy
2101,Uninhabited Planet Survive,TV,action adventure scifi familyfriendly monsters robots survival originalwork
2103,The Melancholy of Haruhi Suzumiya (2009),TV,comedy shounen breakingthefourthwall schoolclub schoollife basedonalightnovel
2104,Yamada-kun and the Seven Witches PV,Web,comedy shounen bodyswapping genderbender promotional schoollife shorts supernatural witches basedonamanga mikiyoshikawa
2105,Ling Yu 4th Season,Web,fantasy chineseanimation cultivation basedonawebnovel
2107,Honkai Impact 3rd: Seele,Web,fantasy chineseanimation shorts basedonamobilegame cganimation
2108,Mardock Scramble: The Second Combustion,Movie,scifi cyberpunk gambling basedonanovel explicitviolence  nudity
2109,Girls und Panzer: Dai 63 Kaisen Shadou Zenkoku Koukousei Taikai,Web,action military militaryschool recap schoolclub schoollife tournaments originalwork
2111,A Certain Scientific Accelerator,TV,action scifi psychicpowers supernatural basedonamanga violence kazumakamachi
2112,Girl,Web,ecchi fantasy japananimator'sexhibition magic shorts
2113,Majo Minarai wo Sagashite,Movie,fantasy magic witches originalwork
2115,Galaxy Express 999 Movie,Movie,adventure scifi leijiverse trains basedonamanga leijimatsumoto
2116,Slayers Revolution,TV,adventure comedy fantasy magic medieval basedonalightnovel
2117,Cromartie High School,TV,comedy shounen all-boysschool breakingthefourthwall delinquents gag parody satire schoollife shortepisodes basedonamanga eijinonaka
2118,Ranma 1/2: The Movie 2 - Nihao My Concubine,Movie,comedy ecchi harem shounen genderbender island martialarts basedonamanga rumikotakahashi
2119,Ganba Fly High,TV,comedy shounen sports gymnastics schoolclub schoollife tournaments basedonamanga
2120,Nodame Cantabile: Special Lesson,DVD S,comedy josei romance basedonamanga tomokoninomiya
