Rank,Name,Type,Tags
44,Steins;Gate,TV,scifi conspiracy lgbtthemes psychological thriller timetravel basedonavisualnovel maturethemes  suicide
45,Haikyuu!!,TV,shounen sports schoolclub schoollife tournaments volleyball basedonamanga haruichifurudate
46,Gintama',TV,action comedy drama scifi shounen aliens breakingthefourthwall crude feudaljapan gag parody samurai slapstick swordplay basedonamanga hideakisorachi
47,One-Punch Man,TV,action comedy scifi seinen cyborgs monsters overpoweredmaincharacters parody satire superheroes superpowers basedonamanga explicitviolence one
48,Demon Slayer: Kimetsu no Yaiba - Mugen Train,TV,action drama fantasy shounen demons historical orphans siblings swordplay trains basedonamanga maturethemes  suicide  violence
49,Gintama°,TV,action comedy drama scifi shounen aliens breakingthefourthwall crude feudaljapan gag parody samurai slapstick swordplay basedonamanga hideakisorachi
50,Howl's Moving Castle,Movie,adventure fantasy romance curse familyfriendly lifestylechange magic witches basedonanovel dianawynnejones
51,Natsume's Book of Friends Season 6,TV,drama fantasy shoujo bodyguards cats countryside episodic iyashikei japanesemythology orphans supernatural youkai basedonamanga yukimidorikawa
52,JoJo's Bizarre Adventure: Golden Wind,TV,action adventure shounen europe italy supernatural basedonamanga animalabuse  maturethemes hirohikoaraki
53,JoJo's Bizarre Adventure: Stone Ocean,Web,action adventure shounen america prison supernatural basedonamanga hirohikoaraki
54,Vinland Saga,TV,action seinen deathofalovedone england europe historical medieval revenge swordplay war weaktostrong basedonamanga violence makotoyukimura
55,Natsume's Book of Friends Season 4,TV,drama shoujo sliceoflife bodyguards cats countryside episodic iyashikei japanesemythology orphans supernatural youkai basedonamanga yukimidorikawa
56,Assassination Classroom 2nd Season,TV,action comedy scifi shounen assassins non-humanprotagonists overpoweredmaincharacters parody schoollife teaching basedonamanga yuseimatsui
57,Natsume's Book of Friends Season 5,TV,drama shoujo sliceoflife bodyguards cats countryside episodic iyashikei japanesemythology orphans supernatural youkai basedonamanga yukimidorikawa
58,My Hero Academia 3,TV,action comedy drama scifi shounen superheroes superpowers basedonamanga violence kouheihorikoshi
59,Violet Evergarden,TV,drama lifestylechange melancholy war basedonalightnovel violence
60,That Time I Got Reincarnated as a Slime,TV,action adventure comedy fantasy shounen cheats demons isekai kingdombuilding magic management modernknowledge monsters non-humanprotagonists overpoweredmaincharacters personinastrangeworld political reincarnation rpg slimes basedonamanga violence fuse
61,My Hero Academia 2,TV,action comedy drama scifi shounen schoollife superheroes superpowers tournaments weaktostrong basedonamanga emotionalabuse  maturethemes  physicalabuse  violence  domesticabuse kouheihorikoshi
62,Wolf Children,Movie,fantasy sliceoflife animalcharacteristics animaltransformation childcare comingofage contemporaryfantasy countryside deathofalovedone familylife lifestylechange singleparent werewolves originalwork nudity
63,SK8 the Infinity,TV,comedy sports racing originalwork emotionalabuse  maturethemes  physicalabuse  domesticabuse bones
64,Hajime no Ippo: The Fighting!,TV,action drama shounen sports boxing handtohandcombat weaktostrong basedonamanga georgemorikawa
65,Code Geass: Lelouch of the Rebellion,TV,mecha scifi conspiracy mindgames overpoweredmaincharacters political psychological realrobot rebellions revenge rivalries royalty secretidentity superpowers terrorism originalwork nudity  violence sunrise
66,JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,TV,action adventure comedy shounen monster-of-the-week proxybattles supernatural basedonamanga animalabuse  explicitviolence  maturethemes hirohikoaraki
68,JoJo's Bizarre Adventure: Diamond is Unbreakable,TV,action mystery shounen proxybattles supernatural basedonamanga animalabuse  maturethemes  violence hirohikoaraki
70,Hajime no Ippo: New Challenger,TV,action drama shounen sports boxing handtohandcombat tournaments basedonamanga georgemorikawa
71,Mushishi Zoku Shou 2nd Season,TV,fantasy seinen episodic iyashikei supernatural basedonamanga yukiurushibara
72,Attack on Titan,TV,action fantasy horror shounen darkfantasy deathofalovedone isolatedsociety military outsideworld overpoweredmaincharacters post-apocalyptic revenge basedonamanga cannibalism  explicitviolence  maturethemes  suicide hajimeisayama
74,Kaguya-sama: Love Is War?,TV,comedy drama romance seinen episodic loveconfession mindgames schoollife studentcouncil basedonamanga akaakasaka
75,Gintama: Porori-hen,TV,action comedy drama scifi shounen aliens crude feudaljapan gag samurai slapstick swordplay basedonamanga hideakisorachi
76,March Comes in like a Lion 2nd Season,TV,drama seinen sliceoflife boardgames melancholy orphans psychological basedonamanga bullying  emotionalabuse chicaumino
77,Natsume's Book of Friends Season 3,TV,drama shoujo sliceoflife bodyguards cats countryside episodic iyashikei japanesemythology orphans supernatural youkai basedonamanga yukimidorikawa
78,Attack on Titan 2nd Season,TV,action fantasy horror shounen darkfantasy isolatedsociety military outsideworld overpoweredmaincharacters post-apocalyptic basedonamanga cannibalism  explicitviolence hajimeisayama
79,I Want to Eat Your Pancreas,Movie,drama romance seinen comingofage illness oppositesattract schoollife basedonanovel yorusumino
80,Rascal Does Not Dream of a Dreaming Girl,Movie,drama romance illness senpai-kouhairelationship supernatural timetravel basedonalightnovel hajimekamoshida
